#{"t_start": 1739931590.9300845, "env_id": "None"}
r,l,t
-10919.0,288,899.556116
-11426.0,288,900.278357
-10723.0,288,902.001403
-11006.0,288,902.612547
-12041.0,288,903.230836
-11743.0,288,903.781703
-11523.0,288,904.35737
-10924.0,288,904.89226
-11460.0,288,905.424138
-9981.0,288,906.12832
-10013.0,288,911.430419
-12393.0,288,912.040625
-11627.0,288,912.572698
-10246.0,288,913.316793
-9482.0,288,913.891427
-9828.0,288,914.422823
-10938.0,288,914.986813
-12251.0,288,916.82744
-9476.0,288,917.385416
-11623.0,288,917.971301
-10093.0,288,918.567856
-10681.0,288,919.299307
-10743.0,288,919.892626
-10461.0,288,920.429132
-10534.0,288,922.215511
-10663.0,288,922.779619
-11684.0,288,923.359803
-10416.0,288,927.485317
-12123.0,288,928.099537
-10966.0,288,928.691831
-10328.0,288,929.322132
-9164.0,288,931.071017
-9086.0,288,931.745444
-10931.0,288,932.363662
-11072.0,288,932.916547
-9853.0,288,933.472407
-11579.0,288,934.104284
-9490.0,288,934.63619
-10268.0,288,936.439233
-9435.0,288,937.019578
-9035.0,288,937.71414
-9670.0,288,938.309842
-10340.0,288,938.940774
-11229.0,288,939.611998
-9242.0,288,940.186822
-9161.0,288,945.545016
-9761.0,288,946.12702
